specimen,split,train_ratio,model,rmse_forecast,mae_forecast,sigma,loglik,AIC,BIC,n_fit,n_calibration,n_forecast,coverage_90,interval_width_90,wis_90,threshold_q80_median,threshold_q80_q05,threshold_q80_q95,p_threshold_q80_by_end,published_hybrid_available,C0,k,alpha,f_inf,tau,beta,C_inf,Delta,lambda
C1,50/50,0.5,Classical,9.806824058147637,8.95831996143874,0.011453208286024093,32.00546855373048,-58.01093710746096,-57.103181828478824,10,2,13,,,,,,,,True,,,,,,,77.08024920765804,21.352750180974457,0.014005014100663871
C1,50/50,0.5,FOK,1.2901313088083002,1.0148919807187882,0.008302053082917215,35.72313902175585,-63.4462780435117,-62.23593767153551,10,2,13,1.0,9.541790539418786,9.541790539418786,134.41591119831077,106.71154511523346,173.5179000076935,1.0,True,99.50924736456648,0.009726163803262737,0.6284776079510267,1.0000012824242722e-06,,,,,
C1,50/50,0.5,KWW,3.408343637607984,2.840795491962944,0.007835816072729406,36.30111718057243,-64.60223436114487,-63.39189398916868,10,2,13,,,,,,,,True,99.69164956170238,,,,43784605.41982164,0.5624089848280022,-25556.695127194726,,
C1,60/40,0.6,Classical,5.291568434931693,4.320030009624461,0.011632930897855519,37.91972158971724,-69.83944317943448,-68.38472323007048,12,3,10,,,,,,,,True,,,,,,,70.00875494716172,28.017323731222778,0.008706407751250275
C1,60/40,0.6,FOK,3.2478836475807724,3.0271843411585073,0.007951335222690405,42.985722544087984,-77.97144508817597,-76.03181848902396,12,3,10,0.5,5.653146754768418,13.119437001204153,129.66389867408282,121.75464187212222,140.53190701139363,0.9985,True,99.21857158134995,0.007877349381905225,0.6762183398344377,1.0000010394968003e-06,,,,,
C1,60/40,0.6,KWW,5.5694709042346044,5.277410496724669,0.007129466259172782,44.29496447137201,-80.58992894274402,-78.65030234359202,12,3,10,,,,,,,,True,99.53574644608238,,,,27954472.152577505,0.5892456373108158,-27955.832510241646,,
C1,70/30,0.7,Classical,5.313820968281848,4.296451283131147,0.010492122949806783,45.434687515708625,-84.86937503141725,-82.95220304257147,14,3,8,,,,,,,,True,,,,,,,69.27041259069328,28.712380528539157,0.008336172293394813
C1,70/30,0.7,FOK,2.2826872027529324,2.036817551983165,0.007904470889192598,49.8994349546253,-91.7988699092506,-89.24264059078956,14,3,8,0.25,3.437274603381928,14.956666868110233,129.34820090508214,118.46343045710145,141.59859497437375,1.0,True,99.4897297359841,0.009339829177114069,0.6405553139560609,1.0003001996064868e-06,,,,,
C1,70/30,0.7,KWW,3.3454651668930646,3.245195966988427,0.007920063674591837,49.871845003671595,-91.74369000734319,-89.18746068888215,14,3,8,,,,,,,,True,99.68368759917956,,,,4450.506390339054,0.5860150868863658,-69.78204220695574,,
C2,50/50,0.5,Classical,12.084710221678916,10.226133697917662,0.009366363129523075,34.01691864731703,-62.033837294634054,-61.12608201565192,10,2,13,,,,,,,,True,,,,,,,84.15003667533125,14.402260109954051,0.01526810095273539
C2,50/50,0.5,FOK,5.311031221034126,3.6229899428898267,0.00590371030598589,39.132357270974516,-70.26471454194903,-69.05437416997285,10,2,13,0.46153846153846156,4.759208172623246,37.27776995445423,272.7216930251799,232.8291572909501,334.7136842693555,1.0,True,99.63113923401328,0.009273078615779655,0.5571582074677595,1.1232504042482207e-06,,,,,
C2,50/50,0.5,KWW,4.385223298096999,2.7232723582579905,0.005572096960805221,39.71045288574621,-71.42090577149241,-70.21056539951623,10,2,13,,,,,,,,True,99.73412753784737,,,,235556095.2435895,0.5119399300075281,-22471.345532595027,,
C2,60/40,0.6,Classical,11.098905413850717,9.249696091497515,0.009070971715858266,40.90484822680456,-75.80969645360912,-74.35497650424512,12,3,10,,,,,,,,True,,,,,,,81.0760316413493,17.23352654220527,0.010783060825000192
C2,60/40,0.6,FOK,5.495033526163781,3.6743221359440277,0.005443954069224875,47.53173317572863,-87.06346635145727,-85.12383975230526,12,3,10,0.7,4.3941612655154145,44.236134202114556,262.30907599460875,245.23869438961924,281.9971303268455,1.0,True,99.53338866145707,0.008505796534873244,0.5761970687695902,1.0000007082728818e-06,,,,,
C2,60/40,0.6,KWW,4.638100072921057,2.804498007146092,0.00506140945506295,48.40606103400907,-88.81212206801814,-86.87249546886613,12,3,10,,,,,,,,True,99.68187970354693,,,,168487759.39363587,0.5221880354033258,-21932.071273901835,,
C2,70/30,0.7,Classical,9.396579752613787,7.391442763623323,0.009327849313339113,47.0813717874225,-88.162743574845,-86.24557158599922,14,3,8,,,,,,,,True,,,,,,,76.95876565899906,21.071721541069586,0.007422753198189761
