specimen,split,train_ratio,model,rmse_forecast,mae_forecast,sigma,loglik,AIC,BIC,n_fit,n_calibration,n_forecast,coverage_90,interval_width_90,wis_90,threshold_q80_median,threshold_q80_q05,threshold_q80_q95,p_threshold_q80_by_end,published_hybrid_available,C0,k,alpha,f_inf,tau,beta,C_inf,Delta,lambda,delta_AIC,delta_BIC
C1,60/40,0.6,Classical,5.291568434931693,4.320030009624461,0.011632930897855519,37.91972158971724,-69.83944317943448,-68.38472323007048,12,3,10,,,,,,,,True,,,,,,,70.00875494716172,28.017323731222778,0.008706407751250275,10.750485763309541,10.26557911352154
C1,60/40,0.6,FOK,3.2478836475807724,3.0271843411585073,0.007951335222690405,42.985722544087984,-77.97144508817597,-76.03181848902396,12,3,10,0.5,5.653146754768418,13.119437001204153,129.66389867408282,121.75464187212222,140.53190701139363,0.9985,True,99.21857158134995,0.007877349381905225,0.6762183398344377,1.0000010394968003e-06,,,,,,2.618483854568055,2.618483854568055
C1,60/40,0.6,KWW,5.5694709042346044,5.277410496724669,0.007129466259172782,44.29496447137201,-80.58992894274402,-78.65030234359202,12,3,10,,,,,,,,True,99.53574644608238,,,,27954472.152577505,0.5892456373108158,-27955.832510241646,,,0.0,0.0
C2,60/40,0.6,Classical,11.098905413850717,9.249696091497515,0.009070971715858266,40.90484822680456,-75.80969645360912,-74.35497650424512,12,3,10,,,,,,,,True,,,,,,,81.0760316413493,17.23352654220527,0.010783060825000192,13.00242561440902,12.517518964621019
C2,60/40,0.6,FOK,5.495033526163781,3.6743221359440277,0.005443954069224875,47.53173317572863,-87.06346635145727,-85.12383975230526,12,3,10,0.7,4.3941612655154145,44.236134202114556,262.30907599460875,245.23869438961924,281.9971303268455,1.0,True,99.53338866145707,0.008505796534873244,0.5761970687695902,1.0000007082728818e-06,,,,,,1.7486557165608758,1.7486557165608758
C2,60/40,0.6,KWW,4.638100072921057,2.804498007146092,0.00506140945506295,48.40606103400907,-88.81212206801814,-86.87249546886613,12,3,10,,,,,,,,True,99.68187970354693,,,,168487759.39363587,0.5221880354033258,-21932.071273901835,,,0.0,0.0
C3,60/40,0.6,Classical,7.654529647732239,7.273506296173653,0.00903046599883237,40.958553288609814,-75.91710657721963,-74.46238662785562,12,3,10,,,,,,,,True,,,,,,,85.8516973237212,12.427060507870578,0.014967491600784848,17.297772129150133,16.81286547936213
C3,60/40,0.6,FOK,2.763671842595887,2.62919504851221,0.0044377137499775465,49.984129077523946,-91.96825815504789,-90.02863155589588,12,3,10,0.3,4.584457654602853,15.055916609258443,455.73629302692865,411.0700427458751,516.7163571783633,0.988988988988989,True,99.76497127544154,0.012097191437307628,0.4679790506869343,2.585410119026161e-06,,,,,,1.2466205513218682,1.2466205513218682
C3,60/40,0.6,KWW,2.253774842789654,2.1549804471572314,0.004213091914683247,50.60743935318488,-93.21487870636976,-91.27525210721775,12,3,10,,,,,,,,True,99.84900355978672,,,,1330946167.903453,0.43027414386644297,-12437.87914201464,,,0.0,0.0
C4,60/40,0.6,Classical,9.031441384375988,7.663691811615169,0.007512034824371378,43.16772441660075,-80.3354488332015,-78.88072888383749,12,3,10,,,,,,,,True,,,,,,,80.41938887921025,18.157501345134772,0.008199358350922701,7.703791607521481,7.218884957733479
C4,60/40,0.6,FOK,3.838846202313233,2.771086784257649,0.00551093301375207,47.38499367149634,-86.76998734299268,-84.83036074384067,12,3,10,0.6,5.262018951966906,26.05724310345288,292.6454771699292,267.6372774453562,330.2084142752719,1.0,True,99.41737434845878,0.005347796407338277,0.6477503349090582,1.0000384917115076e-06,,,,,,1.2692530977302994,1.2692530977302994
C4,60/40,0.6,KWW,2.954222344178292,2.0296613202170533,0.00522705694507706,48.01962022036149,-88.03924044072298,-86.09961384157097,12,3,10,,,,,,,,True,99.54717523691981,,,,40921342.01051429,0.5936996168736584,-23226.41155928917,,,0.0,0.0
C5,60/40,0.6,Classical,5.9998413872279075,5.486339904262276,0.00945986604277272,40.40110227836844,-74.80220455673688,-73.34748460737288,12,3,10,,,,,,,,True,,,,,,,77.30763214718246,20.872762993408575,0.0067488493233821235,5.0486990465036286,4.563792396715627
C5,60/40,0.6,FOK,1.4877263896485347,1.4054267579214028,0.007734666629306798,43.31725234006329,-78.63450468012658,-76.69487808097458,12,3,10,1.0,6.976917533080865,6.976917533080865,273.9071606145897,246.25827298454303,326.05041667164505,1.0,True,99.06395731219968,0.00492670920475912,0.6717310434902356,1.093859158206905e-06,,,,,,1.2163989231139283,1.2163989231139283
C5,60/40,0.6,KWW,0.7420609085172181,0.6428089294419976,0.00735241694807332,43.925451801620255,-79.85090360324051,-77.9112770040885,12,3,10,,,,,,,,True,99.25458876854313,,,,53463495.40463528,0.6068299545439454,-33260.377956537326,,,0.0,0.0
C6,60/40,0.6,Classical,6.05582184784913,5.0322214749535155,0.012029874894922151,37.51708338323452,-69.03416676646904,-67.57944681710504,12,3,10,,,,,,,,True,,,,,,,65.95230265892268,32.43378043935262,0.0073279505482686386,4.791674868840971,4.3067682190529695
C6,60/40,0.6,FOK,2.3314485749006875,2.0782481736402274,0.010019876636878335,40.21095154262389,-72.42190308524778,-70.48227648609577,12,3,10,1.0,6.356690441617962,6.356690441617962,123.71707729005627,114.07071242562378,138.25869658366824,1.0,True,99.34998071303247,0.006317911588246823,0.7306613529422764,1.0000000215251112e-06,,,,,,1.403938550062236,1.403938550062236
C6,60/40,0.6,KWW,5.2539153365974025,4.9328186030509915,0.009450553812692645,40.91292081765501,-73.82584163531001,-71.886215036158,12,3,10,,,,,,,,True,99.66197933325722,,,,9284523.623303244,0.6384030907453611,-26182.77140572694,,,0.0,0.0
C7,60/40,0.6,Classical,9.649107553291344,9.192486764545084,0.009373202088187881,40.51154363487071,-75.02308726974142,-73.56836732037742,12,3,10,,,,,,,,True,,,,,,,83.04119838601986,15.23899528814184,0.014424956295743715,15.363582892699654,14.878676242911652
C7,60/40,0.6,FOK,3.609445554401258,3.4436604264839703,0.00491887599699475,48.748840367223764,-89.49768073444753,-87.55805413529552,12,3,10,0.0,4.460805840669505,28.954144736761577,283.29761615506374,255.92879034123624,316.3375195444034,1.0,True,99.80662595731283,0.012429423269969877,0.5018142540040524,1.0000394121700986e-06,,,,,,0.8889894279935504,0.8889894279935504
C7,60/40,0.6,KWW,2.7782073133859706,2.6622810970130883,0.0047400079946587036,49.19333508122054,-90.38667016244108,-88.44704356328907,12,3,10,,,,,,,,True,99.91301133649405,,,,159383119.91006583,0.4562186423574793,-8516.175123137273,,,0.0,0.0
C8,60/40,0.6,Classical,6.855296555427723,6.231208987577157,0.011005982032525714,38.584533595890235,-71.16906719178047,-69.71434724241647,12,3,10,,,,,,,,True,,,,,,,75.21670816257377,23.014906268768826,0.0084757695605637,6.66993671626031,6.185030066472308
C8,60/40,0.6,FOK,0.5795759011017062,0.4664929369416789,0.008458467842913106,42.24378433519581,-76.48756867039162,-74.54794207123962,12,3,10,1.0,7.506355159328544,7.506355159328544,188.34701578100584,173.87573732391155,211.38497096801316,0.9954773869346734,True,99.32622587217034,0.006922132667405967,0.6539085348632598,1.0000757137630723e-06,,,,,,1.3514352376491559,1.3514352376491559
C8,60/40,0.6,KWW,1.3649288399608261,1.200805896794467,0.007995335024088095,42.91950195402039,-77.83900390804078,-75.89937730888877,12,3,10,,,,,,,,True,99.54973190513704,,,,43118852.667348996,0.5829935428002301,-27118.097156955555,,,0.0,0.0
