split,nominal,empirical,ci_low,ci_high,pooled_points,mean_interval_width
50/50,0.1,0.08653846153846154,0.0461959485638481,0.15633709447491023,104,0.8190565429409327
50/50,0.2,0.1346153846153846,0.08191117076579206,0.21335058819869201,104,1.1704763230292456
50/50,0.30000000000000004,0.19230769230769232,0.12808145190298775,0.2784547661723673,104,1.6176620252945517
50/50,0.4,0.3269230769230769,0.2443398527182713,0.4218367699491159,104,2.569894108821528
50/50,0.5,0.375,0.28797271960861714,0.4709326189844958,104,2.951472063319428
50/50,0.6,0.4230769230769231,0.3325321436006159,0.5191019109182229,104,3.491537121221989
50/50,0.7000000000000001,0.5,0.40563189843430686,0.5943681015656932,104,4.225916473631931
50/50,0.8,0.5384615384615384,0.44299302025822307,0.6311899524823574,104,5.251027604917464
50/50,0.9,0.6346153846153846,0.538810164089419,0.7208302405026132,104,6.817251571709313
60/40,0.1,0.1,0.05154761556738083,0.18510688806104086,80,0.8864388841779742
60/40,0.2,0.125,0.06933557616004862,0.21502802099159665,80,1.1089991806721535
60/40,0.30000000000000004,0.2125,0.13712386717696146,0.31422155730596657,80,1.929382144251211
60/40,0.4,0.2625,0.1785740148850936,0.36818959664428175,80,2.151941425785412
60/40,0.5,0.3,0.21064571260081338,0.4076815392133974,80,2.4396632863356413
60/40,0.6,0.4625,0.35747993562785246,0.570956424087312,80,3.929538889436566
60/40,0.7000000000000001,0.4875,0.38107879540381073,0.5950666578345774,80,4.2505798715832395
60/40,0.8,0.575,0.4656928984656886,0.6774343821039822,80,4.783273546667345
60/40,0.9,0.6375,0.5281079450222215,0.7342920693555084,80,5.649319200193808
70/30,0.1,0.21875,0.13502319406719474,0.3343278395662582,64,1.0577466400154996
70/30,0.2,0.234375,0.1474989559392414,0.35133257582568644,64,1.2181629910340797
70/30,0.30000000000000004,0.34375,0.23923142078443355,0.46596359790081815,64,1.8766869579246066
70/30,0.4,0.34375,0.23923142078443355,0.46596359790081815,64,1.9419414410530687
70/30,0.5,0.359375,0.25288402291451745,0.48179149390220904,64,2.1384404007692903
70/30,0.6,0.5,0.3810209474394701,0.6189790525605299,64,3.098293500354994
70/30,0.7000000000000001,0.5,0.3810209474394701,0.6189790525605299,64,3.276379371271818
70/30,0.8,0.5625,0.4408620895699301,0.6770599029559693,64,3.573535839613826
70/30,0.9,0.609375,0.4869191788027247,0.7194443081175993,64,4.138957255778698
