specimen,split,time,lead_time,observed,predicted,signed_residual
C1,50/50,190.0,0.0,75.11210762331838,75.50127774938468,-0.3891701260663041
C1,50/50,214.0,24.0,73.99103139013452,74.0021459480523,-0.011114557917778711
C1,50/50,238.0,48.0,71.74887892376681,72.60520996317113,-0.8563310394043242
C1,50/50,262.0,72.0,70.96412556053811,71.2962887213007,-0.33216316076259034
C1,50/50,286.0,96.0,69.95515695067265,70.06420465227411,-0.10904770160146882
C1,50/50,310.0,120.0,69.84304932735427,68.89995261822935,0.9430967091249158
C1,50/50,334.0,144.0,69.05829596412556,67.79614515844268,1.2621508056828787
C1,50/50,358.0,168.0,68.67713004484304,66.74662892462095,1.9305011202220896
C1,50/50,382.0,192.0,67.66816143497758,65.74621154038037,1.9219498945972049
C1,50/50,406.0,216.0,67.152466367713,64.79046215626235,2.362004211450653
C1,50/50,430.0,240.0,65.91928251121075,63.87556265697031,2.043719854240443
C1,50/50,478.0,288.0,62.10762331838565,62.15545148516392,-0.04782816677827384
C1,50/50,560.0,370.0,58.52017937219731,59.504697773692634,-0.9845184014953219
C1,60/40,262.0,0.0,70.96412556053811,69.80191247683804,1.1622130837000668
C1,60/40,286.0,24.0,69.95515695067265,68.42342468650315,1.5317322641694915
C1,60/40,310.0,48.0,69.84304932735427,67.11891970690002,2.7241296204542493
C1,60/40,334.0,72.0,69.05829596412556,65.88073914226683,3.1775568218587296
C1,60/40,358.0,96.0,68.67713004484304,64.7024556093408,3.974674435502237
C1,60/40,382.0,120.0,67.66816143497758,63.57860727101326,4.089554163964316
C1,60/40,406.0,144.0,67.152466367713,62.50450271264302,4.6479636550699865
C1,60/40,430.0,168.0,65.91928251121075,61.47607443933906,4.443208071871695
C1,60/40,478.0,216.0,62.10762331838565,59.542449122213455,2.565174196172194
C1,60/40,560.0,298.0,58.52017937219731,56.5645422733752,1.955637098822109
C1,70/30,310.0,0.0,69.84304932735427,68.18716712576591,1.655882201588355
C1,70/30,334.0,24.0,69.05829596412556,67.04253295911236,2.0157630050131985
C1,70/30,358.0,48.0,68.67713004484304,65.95425585962883,2.7228741852142093
C1,70/30,382.0,72.0,67.66816143497758,64.91699678305737,2.751164651920206
C1,70/30,406.0,96.0,67.152466367713,63.92619298066504,3.2262733870479607
C1,70/30,430.0,120.0,65.91928251121075,62.97790727974941,2.9413752314613433
C1,70/30,478.0,168.0,62.10762331838565,61.19560678847436,0.9120165299112912
C1,70/30,560.0,250.0,58.52017937219731,58.450988148488555,0.06919122370875641
C2,50/50,190.0,0.0,81.9889502762431,82.81267924881482,-0.8237289725717147
C2,50/50,214.0,24.0,80.55248618784532,81.82234218204381,-1.269855994198494
C2,50/50,238.0,48.0,78.69613259668509,80.8969839976984,-2.20085140101331
C2,50/50,262.0,72.0,78.3425414364641,80.02717508124057,-1.6846336447764685
C2,50/50,286.0,96.0,78.0110497237569,79.20556206137073,-1.1945123376138298
C2,50/50,310.0,120.0,77.2375690607735,78.42627708594088,-1.1887080251673865
C2,50/50,334.0,144.0,75.4696132596685,77.68454757264745,-2.21493431297894
C2,50/50,358.0,168.0,74.9171270718232,76.9764289446792,-2.059301872855997
C2,50/50,382.0,192.0,73.8121546961326,76.29861597598645,-2.486461279853856
C2,50/50,406.0,216.0,72.92817679558011,75.64830618164197,-2.7201293860618563
C2,50/50,430.0,240.0,70.1657458563536,75.02309866501821,-4.857352808664615
C2,50/50,478.0,288.0,63.86740331491713,73.83995452013565,-9.972551205218522
C2,50/50,560.0,370.0,57.569060773480665,71.99490879007342,-14.42584801659276
C2,60/40,262.0,0.0,78.3425414364641,79.60771387423011,-1.2651724377660116
C2,60/40,286.0,24.0,78.0110497237569,78.74431583966366,-0.7332661159067584
C2,60/40,310.0,48.0,77.2375690607735,77.92462336190529,-0.6870543011317949
C2,60/40,334.0,72.0,75.4696132596685,77.14379124791225,-1.6741779882437413
C2,60/40,358.0,96.0,74.9171270718232,76.39780586683908,-1.4806787950158764
C2,60/40,382.0,120.0,73.8121546961326,75.68329705588842,-1.8711423597558223
C2,60/40,406.0,144.0,72.92817679558011,74.99740164221774,-2.069224846637624
C2,60/40,430.0,168.0,70.1657458563536,74.33766219903482,-4.171916342681229
C2,60/40,478.0,216.0,63.86740331491713,73.08840866528341,-9.221005350366283
C2,60/40,560.0,298.0,57.569060773480665,71.1386435954158,-13.569582821935136
C2,70/30,310.0,0.0,77.2375690607735,77.07428386945267,0.1632851913208242
C2,70/30,334.0,24.0,75.4696132596685,76.21754488658247,-0.7479316269139673
C2,70/30,358.0,48.0,74.9171270718232,75.39774973231893,-0.480622660495726
C2,70/30,382.0,72.0,73.8121546961326,74.611456520634,-0.7993018245013985
C2,70/30,406.0,96.0,72.92817679558011,73.85572866688256,-0.9275518713024411
C2,70/30,430.0,120.0,70.1657458563536,73.12803561217382,-2.9622897558202226
C2,70/30,478.0,168.0,63.86740331491713,71.74822690410284,-7.8808235891857095
C2,70/30,560.0,250.0,57.569060773480665,69.59062226793567,-12.021561494455007
C3,50/50,190.0,0.0,85.51042810098794,85.87293893157795,-0.3625108305900113
C3,50/50,214.0,24.0,83.75411635565314,85.1872091462692,-1.4330927906160582
C3,50/50,238.0,48.0,82.87596048298573,84.55020689056003,-1.6742464075743015
C3,50/50,262.0,72.0,81.84412733260154,83.95435174883819,-2.1102244162366475
C3,50/50,286.0,96.0,81.55872667398464,83.39380759370977,-1.8350809197251294
C3,50/50,310.0,120.0,81.0098792535675,82.86397106298519,-1.8540918094176817
C3,50/50,334.0,144.0,79.582875960483,82.36113757713287,-2.7782616166498713
C3,50/50,358.0,168.0,78.81448957189902,81.88227504324001,-3.067785471340997
C3,50/50,382.0,192.0,78.70472008781559,81.424865699084,-2.720145611268407
C3,50/50,406.0,216.0,78.15587266739847,80.98679262654348,-2.8309199591450067
C3,50/50,430.0,240.0,77.27771679473108,80.56625644995506,-3.2885396552239854
C3,50/50,478.0,288.0,76.0702524698134,79.77182562012541,-3.701573150312015
C3,50/50,560.0,370.0,73.54555433589462,78.5355302981211,-4.989975962226481
C3,60/40,262.0,0.0,81.84412733260154,83.74116278477055,-1.897035452169007
C3,60/40,286.0,24.0,81.55872667398464,83.16353218967915,-1.6048055156945082
C3,60/40,310.0,48.0,81.0098792535675,82.61728667084938,-1.6074074172818769
C3,60/40,334.0,72.0,79.582875960483,82.09866275410914,-2.515786793626148
C3,60/40,358.0,96.0,78.81448957189902,81.60457749794826,-2.790087926049239
C3,60/40,382.0,120.0,78.70472008781559,81.13246888105172,-2.427748793236134
C3,60/40,406.0,144.0,78.15587266739847,80.68018117786471,-2.5243085104662413
C3,60/40,430.0,168.0,77.27771679473108,80.24588075823652,-2.9681639635054466
C3,60/40,478.0,216.0,76.0702524698134,79.42515418629141,-3.354901716478011
C3,60/40,560.0,298.0,73.54555433589462,78.14725873251011,-4.601704396615489
C3,70/30,310.0,0.0,81.0098792535675,81.87496998724147,-0.8650907336739664
C3,70/30,334.0,24.0,79.582875960483,81.29754849336969,-1.714672532886695
C3,70/30,358.0,48.0,78.81448957189902,80.74647857614853,-1.931989004249516
C3,70/30,382.0,72.0,78.70472008781559,80.21908358287479,-1.5143634950592002
C3,70/30,406.0,96.0,78.15587266739847,79.71310392459803,-1.557231257199561
C3,70/30,430.0,120.0,77.27771679473108,79.22661169829209,-1.948894903561012
C3,70/30,478.0,168.0,76.0702524698134,78.30566649305855,-2.2354140232451556
