split,specimen,qoi,parameter,method,index_type,value,ci_low,ci_high
50/50,C1,T_0.80,k,sobol,first,0.17280313245724188,0.0761982953222652,0.2573774626345192
50/50,C1,T_0.80,k,sobol,total,0.14359790026351787,0.11645044222823095,0.17754370256307583
50/50,C1,T_0.80,k,morris,mu_star,94.93200190518658,,
50/50,C1,T_0.80,k,morris,sigma,108.99250822715997,,
50/50,C1,T_0.80,alpha,sobol,first,0.8662639049470384,0.8349095277420251,0.896811717942566
50/50,C1,T_0.80,alpha,sobol,total,0.8678507496991745,0.7560658644336776,0.9758979119419904
50/50,C1,T_0.80,alpha,morris,mu_star,342.65812207048214,,
50/50,C1,T_0.80,alpha,morris,sigma,237.26678023641466,,
50/50,C1,T_0.80,f_inf,sobol,first,-0.007154089060266822,-0.09580018259378387,0.0869846198057059
50/50,C1,T_0.80,f_inf,sobol,total,5.615933279259325e-14,4.5361722837426566e-14,7.200005158642076e-14
50/50,C1,T_0.80,f_inf,morris,mu_star,8.264402261417558e-05,,
50/50,C1,T_0.80,f_inf,morris,sigma,8.643386939788279e-05,,
50/50,C2,T_0.80,k,sobol,first,0.05431939347793657,-0.06467982433755554,0.15163055765099406
50/50,C2,T_0.80,k,sobol,total,0.09793599619328684,0.07762314471022841,0.12273665135625812
50/50,C2,T_0.80,k,morris,mu_star,319.2497678448932,,
50/50,C2,T_0.80,k,morris,sigma,362.53337090203723,,
50/50,C2,T_0.80,alpha,sobol,first,0.8493269434752402,0.8012467117320091,0.8843434891840548
50/50,C2,T_0.80,alpha,sobol,total,0.9427577909852617,0.8243060612337594,1.0927312856622837
50/50,C2,T_0.80,alpha,morris,mu_star,967.9057517484086,,
50/50,C2,T_0.80,alpha,morris,sigma,727.6231428686887,,
50/50,C2,T_0.80,f_inf,sobol,first,-0.04400921388131973,-0.12331359121323592,0.04257974222351672
50/50,C2,T_0.80,f_inf,sobol,total,1.3787840215978216e-13,1.0987530538679213e-13,1.7863641616441027e-13
50/50,C2,T_0.80,f_inf,morris,mu_star,0.0003390360428326744,,
50/50,C2,T_0.80,f_inf,morris,sigma,0.0003267305988749559,,
50/50,C3,T_0.80,k,sobol,first,0.09407636322935431,-0.04204489549635901,0.2189285070824815
