split,specimen,qoi,time_h,parameter,method,index_type,value,ci_low,ci_high
50/50,C1,normalized_retention,0.0,k,sobol,first,,,
50/50,C1,normalized_retention,0.0,k,sobol,total,,,
50/50,C1,normalized_retention,0.0,k,morris,mu_star,0.0,,
50/50,C1,normalized_retention,0.0,k,morris,sigma,0.0,,
50/50,C1,normalized_retention,0.0,alpha,sobol,first,,,
50/50,C1,normalized_retention,0.0,alpha,sobol,total,,,
50/50,C1,normalized_retention,0.0,alpha,morris,mu_star,0.0,,
50/50,C1,normalized_retention,0.0,alpha,morris,sigma,0.0,,
50/50,C1,normalized_retention,0.0,f_inf,sobol,first,,,
50/50,C1,normalized_retention,0.0,f_inf,sobol,total,,,
50/50,C1,normalized_retention,0.0,f_inf,morris,mu_star,0.0,,
50/50,C1,normalized_retention,0.0,f_inf,morris,sigma,0.0,,
50/50,C1,normalized_retention,11.428571428571429,k,sobol,first,0.29648351556901165,0.2187750519103486,0.3779974593428188
50/50,C1,normalized_retention,11.428571428571429,k,sobol,total,0.31423108731028865,0.2813814801360291,0.35143010194819246
50/50,C1,normalized_retention,11.428571428571429,k,morris,mu_star,0.01972000057972904,,
50/50,C1,normalized_retention,11.428571428571429,k,morris,sigma,0.0030379333012472624,,
50/50,C1,normalized_retention,11.428571428571429,alpha,sobol,first,0.6856642132904929,0.6505466797018775,0.7162430637197233
50/50,C1,normalized_retention,11.428571428571429,alpha,sobol,total,0.676389978127954,0.6012342523024465,0.753982502814724
50/50,C1,normalized_retention,11.428571428571429,alpha,morris,mu_star,0.02791744781162071,,
50/50,C1,normalized_retention,11.428571428571429,alpha,morris,sigma,0.004455943172030983,,
50/50,C1,normalized_retention,11.428571428571429,f_inf,sobol,first,-0.04522821884128869,-0.14039407597405984,0.053053423703392825
50/50,C1,normalized_retention,11.428571428571429,f_inf,sobol,total,7.66748656247781e-14,6.674289808302569e-14,8.743468151147865e-14
50/50,C1,normalized_retention,11.428571428571429,f_inf,morris,mu_star,9.881082993490331e-09,,
50/50,C1,normalized_retention,11.428571428571429,f_inf,morris,sigma,2.5441194631614605e-09,,
50/50,C1,normalized_retention,22.857142857142858,k,sobol,first,0.19811020056971085,0.11390955491435079,0.28957638709695316
50/50,C1,normalized_retention,22.857142857142858,k,sobol,total,0.21392490388156954,0.19114194659470338,0.24117353120238177
50/50,C1,normalized_retention,22.857142857142858,k,morris,mu_star,0.029852445032241926,,
50/50,C1,normalized_retention,22.857142857142858,k,morris,sigma,0.005777310005684273,,
50/50,C1,normalized_retention,22.857142857142858,alpha,sobol,first,0.785945933462689,0.7634272560941024,0.8080410194588764
50/50,C1,normalized_retention,22.857142857142858,alpha,sobol,total,0.7727380792198527,0.6864432032359119,0.857344678870849
50/50,C1,normalized_retention,22.857142857142858,alpha,morris,mu_star,0.05467640992984021,,
50/50,C1,normalized_retention,22.857142857142858,alpha,morris,sigma,0.009468970446182294,,
50/50,C1,normalized_retention,22.857142857142858,f_inf,sobol,first,-0.03493255450758581,-0.13661996697695422,0.07036885295543507
50/50,C1,normalized_retention,22.857142857142858,f_inf,sobol,total,5.40439359494645e-14,4.7595683297152135e-14,6.187062046687833e-14
50/50,C1,normalized_retention,22.857142857142858,f_inf,morris,mu_star,1.5099399022777682e-08,,
50/50,C1,normalized_retention,22.857142857142858,f_inf,morris,sigma,4.542000321228286e-09,,
50/50,C1,normalized_retention,34.285714285714285,k,sobol,first,0.16073648630574666,0.07462769589575641,0.2558673999429175
50/50,C1,normalized_retention,34.285714285714285,k,sobol,total,0.17462451475956545,0.15556478868908763,0.19658860357665314
50/50,C1,normalized_retention,34.285714285714285,k,morris,mu_star,0.03765066757660793,,
50/50,C1,normalized_retention,34.285714285714285,k,morris,sigma,0.008015252943987387,,
50/50,C1,normalized_retention,34.285714285714285,alpha,sobol,first,0.8252417947770485,0.8067469019925365,0.843490736669698
50/50,C1,normalized_retention,34.285714285714285,alpha,sobol,total,0.8100471063737751,0.7208944367264841,0.8962887527989527
50/50,C1,normalized_retention,34.285714285714285,alpha,morris,mu_star,0.07812892730275897,,
50/50,C1,normalized_retention,34.285714285714285,alpha,morris,sigma,0.01403460867229501,,
50/50,C1,normalized_retention,34.285714285714285,f_inf,sobol,first,-0.02942476779239578,-0.13546499007602403,0.07814479071187394
50/50,C1,normalized_retention,34.285714285714285,f_inf,sobol,total,4.557863823235767e-14,4.03493723599077e-14,5.2294812160303044e-14
50/50,C1,normalized_retention,34.285714285714285,f_inf,morris,mu_star,1.9269357368068006e-08,,
50/50,C1,normalized_retention,34.285714285714285,f_inf,morris,sigma,6.259787555635352e-09,,
50/50,C1,normalized_retention,45.714285714285715,k,sobol,first,0.140147888621319,0.05313579941304275,0.23677980627640866
50/50,C1,normalized_retention,45.714285714285715,k,sobol,total,0.15246216063382162,0.13561268114084915,0.17119985103812133
50/50,C1,normalized_retention,45.714285714285715,k,morris,mu_star,0.044102086420843574,,
50/50,C1,normalized_retention,45.714285714285715,k,morris,sigma,0.00988734028969661,,
50/50,C1,normalized_retention,45.714285714285715,alpha,sobol,first,0.8474037828272173,0.8304757323827241,0.8636192994738991
50/50,C1,normalized_retention,45.714285714285715,alpha,sobol,total,0.8309879409663677,0.7409960419138639,0.9191469963136545
50/50,C1,normalized_retention,45.714285714285715,alpha,morris,mu_star,0.09919514970354049,,
50/50,C1,normalized_retention,45.714285714285715,alpha,morris,sigma,0.018156801022178384,,
50/50,C1,normalized_retention,45.714285714285715,f_inf,sobol,first,-0.025923548032530608,-0.1341732870428856,0.08322368283911093
50/50,C1,normalized_retention,45.714285714285715,f_inf,sobol,total,4.1028095127717166e-14,3.6287820403477466e-14,4.7135056008457405e-14
50/50,C1,normalized_retention,45.714285714285715,f_inf,morris,mu_star,2.2846723438108006e-08,,
50/50,C1,normalized_retention,45.714285714285715,f_inf,morris,sigma,7.783746358405328e-09,,
50/50,C1,normalized_retention,57.142857142857146,k,sobol,first,0.12676237349046382,0.03922460660625242,0.22404160596911565
50/50,C1,normalized_retention,57.142857142857146,k,sobol,total,0.1377721926656024,0.12243333155309899,0.15442212504062738
50/50,C1,normalized_retention,57.142857142857146,k,morris,mu_star,0.049629463194520676,,
50/50,C1,normalized_retention,57.142857142857146,k,morris,sigma,0.011474446834572348,,
50/50,C1,normalized_retention,57.142857142857146,alpha,sobol,first,0.8620946268033916,0.8463149206303606,0.8769274688664935
50/50,C1,normalized_retention,57.142857142857146,alpha,sobol,total,0.8448544052328035,0.7540133272730375,0.9343553453860259
50/50,C1,normalized_retention,57.142857142857146,alpha,morris,mu_star,0.11839935783332989,,
50/50,C1,normalized_retention,57.142857142857146,alpha,morris,sigma,0.021879132386240195,,
50/50,C1,normalized_retention,57.142857142857146,f_inf,sobol,first,-0.023468459052012003,-0.1317134298433125,0.08656486939493305
50/50,C1,normalized_retention,57.142857142857146,f_inf,sobol,total,3.815875851737086e-14,3.3724525442730304e-14,4.387099419216953e-14
50/50,C1,normalized_retention,57.142857142857146,f_inf,morris,mu_star,2.6021650625929205e-08,,
50/50,C1,normalized_retention,57.142857142857146,f_inf,morris,sigma,9.15963954644218e-09,,
50/50,C1,normalized_retention,68.57142857142857,k,sobol,first,0.11719595835301566,0.02931571168327525,0.21479646883761483
50/50,C1,normalized_retention,68.57142857142857,k,sobol,total,0.12709898689160315,0.11287549528432649,0.1422720854048132
50/50,C1,normalized_retention,68.57142857142857,k,morris,mu_star,0.05446602152126662,,
50/50,C1,normalized_retention,68.57142857142857,k,morris,sigma,0.012830620900195277,,
50/50,C1,normalized_retention,68.57142857142857,alpha,sobol,first,0.8727690838723394,0.8580749626152628,0.8865555916963923
50/50,C1,normalized_retention,68.57142857142857,alpha,sobol,total,0.8549436593606204,0.7632077265399643,0.9458057523204334
50/50,C1,normalized_retention,68.57142857142857,alpha,morris,mu_star,0.1360810303903786,,
50/50,C1,normalized_retention,68.57142857142857,alpha,morris,sigma,0.025245414326540306,,
50/50,C1,normalized_retention,68.57142857142857,f_inf,sobol,first,-0.02164075055832937,-0.1294349731629885,0.0889337175847859
50/50,C1,normalized_retention,68.57142857142857,f_inf,sobol,total,3.617978021810336e-14,3.196543714186733e-14,4.161446450571e-14
50/50,C1,normalized_retention,68.57142857142857,f_inf,morris,mu_star,2.889707247655249e-08,,
50/50,C1,normalized_retention,68.57142857142857,f_inf,morris,sigma,1.0416131917074771e-08,,
50/50,C1,normalized_retention,80.0,k,sobol,first,0.10992644500648485,0.021786531836304586,0.20768771879838843
50/50,C1,normalized_retention,80.0,k,sobol,total,0.11887174711774558,0.10551763374569177,0.13293734026041595
50/50,C1,normalized_retention,80.0,k,morris,mu_star,0.058758664009917694,,
50/50,C1,normalized_retention,80.0,k,morris,sigma,0.013994738031153763,,
50/50,C1,normalized_retention,80.0,alpha,sobol,first,0.8809976317746107,0.8672398181747067,0.893948524340621
50/50,C1,normalized_retention,80.0,alpha,sobol,total,0.8627453639169596,0.7703772274934012,0.9546823110155469
50/50,C1,normalized_retention,80.0,alpha,morris,mu_star,0.15247890301956002,,
50/50,C1,normalized_retention,80.0,alpha,morris,sigma,0.028294228752585127,,
50/50,C1,normalized_retention,80.0,f_inf,sobol,first,-0.020224860453937232,-0.12758399490791486,0.09068463810346111
50/50,C1,normalized_retention,80.0,f_inf,sobol,total,3.4734968507579753e-14,3.067805464420045e-14,3.996295853381511e-14
50/50,C1,normalized_retention,80.0,f_inf,morris,mu_star,3.153686715107185e-08,,
50/50,C1,normalized_retention,80.0,f_inf,morris,sigma,1.1572986830164993e-08,,
50/50,C1,normalized_retention,91.42857142857143,k,sobol,first,0.10415972749832236,0.01581579061919442,0.2021695057445688
50/50,C1,normalized_retention,91.42857142857143,k,sobol,total,0.11226324289407091,0.09962120559530814,0.1254633438845257
50/50,C1,normalized_retention,91.42857142857143,k,morris,mu_star,0.0626079200867515,,
50/50,C1,normalized_retention,91.42857142857143,k,morris,sigma,0.014996183776854008,,
50/50,C1,normalized_retention,91.42857142857143,alpha,sobol,first,0.8876073720443707,0.874610362093449,0.8998656974853906
50/50,C1,normalized_retention,91.42857142857143,alpha,sobol,total,0.86904000110469,0.7762107643461854,0.9618572890866406
50/50,C1,normalized_retention,91.42857142857143,alpha,morris,mu_star,0.16777054018554843,,
50/50,C1,normalized_retention,91.42857142857143,alpha,morris,sigma,0.03105871226564343,,
50/50,C1,normalized_retention,91.42857142857143,f_inf,sobol,first,-0.0190967306978016,-0.12639514710691085,0.09203988435962465
50/50,C1,normalized_retention,91.42857142857143,f_inf,sobol,total,3.3638431569491184e-14,2.9629655927361405e-14,3.8720906293812505e-14
50/50,C1,normalized_retention,91.42857142857143,f_inf,morris,mu_star,3.3984228073324904e-08,,
50/50,C1,normalized_retention,91.42857142857143,f_inf,morris,sigma,1.2644708690293595e-08,,
50/50,C1,normalized_retention,102.85714285714286,k,sobol,first,0.09943749038474936,0.010936264472235259,0.19781422410877422
50/50,C1,normalized_retention,102.85714285714286,k,sobol,total,0.10679185284162658,0.09474952437426502,0.11929454217106052
50/50,C1,normalized_retention,102.85714285714286,k,morris,mu_star,0.06608661951235775,,
50/50,C1,normalized_retention,102.85714285714286,k,morris,sigma,0.01585797338298005,,
50/50,C1,normalized_retention,102.85714285714286,alpha,sobol,first,0.8930798735774921,0.8807199009471369,0.9047485096341532
50/50,C1,normalized_retention,102.85714285714286,alpha,sobol,total,0.8742799434643864,0.7812939016270094,0.9678375498556865
50/50,C1,normalized_retention,102.85714285714286,alpha,morris,mu_star,0.1820934414996404,,
50/50,C1,normalized_retention,102.85714285714286,alpha,morris,sigma,0.03356728216892266,,
50/50,C1,normalized_retention,102.85714285714286,f_inf,sobol,first,-0.018179071586096107,-0.12513630698908598,0.09310301676952581
50/50,C1,normalized_retention,102.85714285714286,f_inf,sobol,total,3.2782910379832525e-14,2.8857431639641893e-14,3.777318203988518e-14
50/50,C1,normalized_retention,102.85714285714286,f_inf,morris,mu_star,3.627014521223604e-08,,
50/50,C1,normalized_retention,102.85714285714286,f_inf,morris,sigma,1.3642419347874241e-08,,
50/50,C1,normalized_retention,114.28571428571429,k,sobol,first,0.09547501472601594,0.006864082909388709,0.1940966997964203
50/50,C1,normalized_retention,114.28571428571429,k,sobol,total,0.10215591340378048,0.09062950458158618,0.11408316872353749
50/50,C1,normalized_retention,114.28571428571429,k,morris,mu_star,0.069249767464523,,
50/50,C1,normalized_retention,114.28571428571429,k,morris,sigma,0.01659861843304187,,
50/50,C1,normalized_retention,114.28571428571429,alpha,sobol,first,0.8977167813662792,0.8859025627694376,0.9088730043389998
50/50,C1,normalized_retention,114.28571428571429,alpha,sobol,total,0.8787474063702398,0.785649001078125,0.9729400658240878
50/50,C1,normalized_retention,114.28571428571429,alpha,morris,mu_star,0.19555736067098275,,
50/50,C1,normalized_retention,114.28571428571429,alpha,morris,sigma,0.035844433659179234,,
50/50,C1,normalized_retention,114.28571428571429,f_inf,sobol,first,-0.017420795477088635,-0.12396895730214944,0.09394571076792582
50/50,C1,normalized_retention,114.28571428571429,f_inf,sobol,total,3.210182459501862e-14,2.8243918305244845e-14,3.7018852157502487e-14
50/50,C1,normalized_retention,114.28571428571429,f_inf,morris,mu_star,3.841784060043541e-08,,
50/50,C1,normalized_retention,114.28571428571429,f_inf,morris,sigma,1.4574928483673635e-08,,
50/50,C1,normalized_retention,125.71428571428572,k,sobol,first,0.09208521221548227,0.0032335327984554718,0.19085959238806463
50/50,C1,normalized_retention,125.71428571428572,k,sobol,total,0.09815565083197658,0.08708055445483164,0.10959908880649269
50/50,C1,normalized_retention,125.71428571428572,k,morris,mu_star,0.07214024619603639,,
50/50,C1,normalized_retention,125.71428571428572,k,morris,sigma,0.01723331805000473,,
50/50,C1,normalized_retention,125.71428571428572,alpha,sobol,first,0.9017178665662964,0.8903796801551949,0.9124086696735884
50/50,C1,normalized_retention,125.71428571428572,alpha,sobol,total,0.8826286127638794,0.7891685471918677,0.9773744749174768
50/50,C1,normalized_retention,125.71428571428572,alpha,morris,mu_star,0.20825199822424828,,
50/50,C1,normalized_retention,125.71428571428572,alpha,morris,sigma,0.037911427072290275,,
50/50,C1,normalized_retention,125.71428571428572,f_inf,sobol,first,-0.016786551421709373,-0.12295428759915754,0.09462348574016563
50/50,C1,normalized_retention,125.71428571428572,f_inf,sobol,total,3.155147752295443e-14,2.7749166857985928e-14,3.640779240367588e-14
50/50,C1,normalized_retention,125.71428571428572,f_inf,morris,mu_star,4.044530504676569e-08,,
50/50,C1,normalized_retention,125.71428571428572,f_inf,morris,sigma,1.5449390883044202e-08,,
50/50,C1,normalized_retention,137.14285714285714,k,sobol,first,0.08913958121440801,-6.655448504768726e-05,0.1879952327936771
50/50,C1,normalized_retention,137.14285714285714,k,sobol,total,0.09465282417461095,0.08396668871952907,0.1056831852418908
50/50,C1,normalized_retention,137.14285714285714,k,morris,mu_star,0.0747923322455514,,
