specimen,metric,ARIMA,Bi-LSTM,CNN,CTB,GRU,LSTM,PoFINN,RCN,SES,TRF,XGB
C1,MAE,12.6386,5.1312,11.7993,11.2122,26.5635,26.6036,4.7351,29.8067,10.8514,21.7455,24.4373
C2,MAE,15.0655,7.9368,10.3376,13.8525,30.6676,29.5085,7.2527,34.5683,9.7491,13.3671,24.5735
C3,MAE,8.9569,17.4635,11.7395,10.2242,38.7691,37.3905,8.7198,46.2084,9.2623,23.3914,31.0934
C4,MAE,13.8924,9.2121,13.8653,12.7654,31.6567,29.1499,7.8099,37.1336,9.9965,15.5297,25.4689
C5,MAE,11.8011,10.8534,14.4811,14.4848,32.8531,30.4788,7.1081,37.4314,10.2441,23.5542,17.6184
C6,MAE,14.5803,12.9595,17.0197,12.9851,19.7359,18.8054,4.8341,23.4159,4.9008,6.5235,20.9811
C7,MAE,11.4918,13.8085,18.7077,10.1853,35.4802,33.247,7.8698,39.6218,12.1151,18.3618,29.2262
C8,MAE,12.4571,7.5897,20.5491,11.0966,28.6915,27.5507,5.7604,33.7324,14.2936,9.3966,25.6008
C1,RMSE,13.0025,5.9701,11.8412,11.6201,26.7382,26.7781,5.5669,29.9625,12.0094,21.7905,24.7123
C2,RMSE,15.9935,9.5174,10.4022,14.8551,31.1333,29.9922,8.7561,34.9819,11.8352,13.5988,25.1522
C3,RMSE,9.0961,17.5351,11.7532,10.8986,38.8014,37.4241,11.2429,46.2355,10.3217,23.3915,31.1337
C4,RMSE,14.4341,10.0082,13.9535,13.3513,31.8975,29.4112,8.6956,37.3389,11.7809,15.5381,25.7676
C5,RMSE,11.9855,11.0532,14.4838,14.6915,32.9196,30.5505,8.0516,37.4898,10.8617,23.5542,17.7422
C6,RMSE,14.9431,13.3608,17.0292,13.3903,20.0048,19.0873,5.7398,23.6428,5.8932,6.5243,21.2342
C7,RMSE,11.7027,13.9842,18.7078,10.4223,35.5491,33.3204,9.4294,39.6834,12.8204,18.3637,29.3097
C8,RMSE,12.6852,7.9569,20.5581,11.3509,28.7908,27.6542,6.3342,33.8169,14.9163,9.3988,25.7121
